type,group,id,display,meaning,examples,stage,L,rationale,syllabus_ref,reviewed,batch
prefix,,ad,ad-,to; toward,"adjoin, advantage",s3e,high,"Explicitly listed in Stage 3 sequence with assimilated forms (ac-, af-, as-, al-, at-, ap-)","NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 3",,1
prefix,,anti,anti-,against,"anticlimax, antisocial",s2l,high,Explicitly listed in Stage 2 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 2",,1
prefix,,con,con-,with or together,"conform, connect",s3e,high,"Listed in Stage 3 as com- with assimilated forms (col-, cor-, co-, con-)","NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 3",,1
prefix,,contra,contra-,against; opposite,"contradict, contraband",s2e,high,Listed in Stage 2 Latin roots as contra/counter (against),"NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 2",,1
prefix,,de,de-,undo; remove; down,"declutter, demerit",s2e,high,Explicitly listed in Stage 2 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 2",,1
prefix,,dis,dis-,not; opposite; apart,"disagree, dissatisfy",s2e,high,Explicitly listed in Stage 2 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 2",,1
prefix,,en,en-,cause to; make,"enrage, enclose",s3e,high,Explicitly listed in Stage 3 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 3",,1
prefix,,em,em-,cause to; make,"embed, empower",s3e,high,Listed in Stage 3 as em- (assimilated form of en-),"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 3",,1
prefix,,ex,ex-,out of; former,"exhale, export",s3e,high,"Explicitly listed in Stage 3 sequence with assimilated forms (ef-, e-)","NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 3",,1
prefix,,e,e-,electronic; online,"email, e-commerce",s4,medium,Contemporary abbreviation; not a classical derivational morpheme. Absent from both NSW DoE sequence and Australian Curriculum v9. Does not belong in the morpheme curriculum — consider digital literacy context instead.,Not found in NSW DoE Morphemes Suggested Sequence or Australian Curriculum v9,,1
prefix,,extra,extra-,beyond,"extraordinary, extraterrestrial",s3e,medium,Not listed in NSW DoE sequence or Australian Curriculum v9. Latin origin; thematically suits Stage 3 but has no direct citation. Placement requires teacher judgement or curriculum decision.,Not found in NSW DoE Morphemes Suggested Sequence or Australian Curriculum v9,,1
prefix,,fore,fore-,before,"foreground, forerunner",s3e,high,Explicitly listed in Stage 3 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 3",,1
prefix,,hyper,hyper-,over; excessive,"hyperactive, hyperbole",s3e,high,Explicitly listed in Stage 3 Greek roots,"NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 3",,1
prefix,,in,in-,not; into,"incomplete, inside",s2e,high,"Explicitly listed in Stage 2 sequence with assimilated forms (im-, il-, ir-)","NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 2",,1
prefix,,inter,inter-,between,"interact, interstate",s3e,high,Explicitly listed in Stage 3 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 3",,1
prefix,,mal,mal-,bad,"malpractice, malfunction",s3e,high,Explicitly listed in Stage 3 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 3",,1
prefix,,mega,mega-,large,"megabyte, megaphone",s3e,high,Explicitly listed in Stage 3 Greek roots,"NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 3",,1
prefix,,micro,micro-,small,"microscope, microwave",s3e,high,Explicitly listed in Stage 3 Greek roots,"NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 3",,1
prefix,,mid,mid-,middle,"midday, midway",s2e,high,Explicitly listed in Stage 1 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 1",,1
prefix,,mis,mis-,wrong,"mislead, misbehave",s2e,high,Explicitly listed in Stage 1 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 1",,1
prefix,,multi,multi-,many,"multimedia, multiple",s2l,medium,Not explicitly listed in NSW DoE morpheme sequence or Australian Curriculum v9. High-frequency prefix; logically suits Stage 2–3 range but requires teacher judgement or curriculum decision.,Not found in NSW DoE Morphemes Suggested Sequence or Australian Curriculum v9,,2
prefix,,non,non-,not,"nonliving, nonfiction",s2e,high,Explicitly listed in Stage 1 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 1",,2
prefix,,over,over-,too much,"overflow, overcame",s2l,high,Explicitly listed in Stage 2 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 2",,2
prefix,,post,post-,after,"post-war, postgraduate",s3e,high,Explicitly listed in Stage 3 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 3",,2
prefix,,pre,pre-,before,"preview, precaution",s2e,high,Explicitly listed in Stage 1 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 1",,2
prefix,,pro,pro-,in favour of; forward,"proclaim, pro-government",s3e,high,Explicitly listed in Stage 3 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 3",,2
prefix,,re,re-,again,"reread, revisit",s2e,high,Explicitly listed in Stage 1 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 1",,2
prefix,,semi,semi-,half,"semicircle, semi-final",s2e,high,Explicitly listed in Stage 2 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 2",,2
prefix,,sub,sub-,under; below,"subheading, submarine",s2e,high,Explicitly listed in Stage 2 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 2",,2
prefix,,super,super-,above; beyond,"superstar, supercharged",s2l,high,Explicitly listed in Stage 2 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 2",,2
prefix,,trans,trans-,across,"transform, transport",s2e,high,Explicitly listed in Stage 2 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 2",,2
prefix,,un,un-,not,"unusual, unforgiving",s2e,high,Explicitly listed in Stage 1 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 1",,2
prefix,,under,under-,below,"underwhelmed, underestimate",s2l,high,Explicitly listed in Stage 2 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 2",,2
prefix,,ob,ob-,against; in the way of; towards,"object, obstacle",s3l,medium,"Not listed in NSW DoE sequence or Australian Curriculum v9. Latin origin; functions as an assimilated prefix (ob-, oc-, of-, op-). Thematically suits Stage 3 alongside other Latin assimilated prefixes (ad-, ex-, con-) but has no direct citation. Teacher judgement required.",Not found in NSW DoE Morphemes Suggested Sequence or Australian Curriculum v9,,2
prefix,,a,a-,not; without,"atypical, amoral",s4,medium,"Not listed in NSW DoE sequence or Australian Curriculum v9. Greek origin (from alpha privative). Distinct from the Anglo-Saxon prefix a- meaning ""on/in"". Thematically suits Stage 3–4 alongside Greek roots content but has no direct citation. Teacher judgement required.",Not found in NSW DoE Morphemes Suggested Sequence or Australian Curriculum v9,,2
prefix,,tele,tele-,far; distant,"telescope, television",s2l,high,"Explicitly listed in Stage 2 sequence as tele-, tel-","NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 2",,2
prefix,,peri,peri-,around,"perimeter, pericardium",s3l,medium,Not listed in NSW DoE sequence or Australian Curriculum v9. Greek origin; appears in Stage 3 Greek roots content area (e.g. perimeter) but peri- as a standalone prefix is not cited. Thematically suits Stage 3. Teacher judgement required.,Not found in NSW DoE Morphemes Suggested Sequence or Australian Curriculum v9,,2
prefix,,gyro,gyro-,circle; spinning,"gyroscope, gyrate",s3l,medium,Not listed in NSW DoE sequence or Australian Curriculum v9. Highly specialised Greek combining form; more suited to science/technology contexts than general morpheme instruction. Recommend reviewing whether this belongs in the morpheme curriculum.,Not found in NSW DoE Morphemes Suggested Sequence or Australian Curriculum v9,,2
prefix,,endo,endo-,within; inside,"endoskeleton, endocrine",s4,medium,Not listed in NSW DoE sequence or Australian Curriculum v9. Greek origin; primarily a science/medical term. Thematically suits Stage 4 (Year 7) science contexts. Teacher judgement required.,Not found in NSW DoE Morphemes Suggested Sequence or Australian Curriculum v9,,2
prefix,,horo,horo-,time; hour,"horology, horoscope",s4,medium,Not listed in NSW DoE sequence or Australian Curriculum v9. Rare Greek combining form; highly specialised vocabulary. Recommend reviewing whether this belongs in the morpheme curriculum at this level.,Not found in NSW DoE Morphemes Suggested Sequence or Australian Curriculum v9,,2
prefix,,stetho,stetho-,chest,stethoscope,s4,medium,Not listed in NSW DoE sequence or Australian Curriculum v9. Highly specialised Greek combining form; almost exclusively medical. Only one common word (stethoscope). Recommend reviewing whether this belongs in the morpheme curriculum.,Not found in NSW DoE Morphemes Suggested Sequence or Australian Curriculum v9,,2
prefix,,kaleido,kaleido-,beautiful form,kaleidoscope,s4,medium,Not listed in NSW DoE sequence or Australian Curriculum v9. Rare Greek combining form; only one common word (kaleidoscope). Recommend reviewing whether this belongs in the morpheme curriculum.,Not found in NSW DoE Morphemes Suggested Sequence or Australian Curriculum v9,,2
prefix,,be,be-,to make; cause to be,"befriend, belittle",s2l,high,Explicitly listed in Stage 2 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 2",,2
prefix,,hypo,hypo-,under; below; less than normal,"hypothermia, hypothetical",s3e,high,Explicitly listed in Stage 3 Greek roots,"NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 3",,2
prefix,,circum,circum-,around,"circumference, circumstance",s2e,high,Listed in Stage 2 Latin roots as circum (around),"NSW DoE Morphemes Suggested Sequence – Latin & Greek Roots, Stage 2",,2
prefix,,uni,uni-,one; single,"unite, universe",s3e,high,Explicitly listed in Stage 3 sequence,"NSW DoE Morphemes Suggested Sequence – Derivational Prefixes, Stage 3",,2
prefix,,arch,arch-,chief; most important,"archbishop, architect",s3l,medium,"Not listed as a standalone prefix in the NSW DoE sequence or Australian Curriculum v9. Appears in general literature as a Greek combining form alongside roots like auto, bio, tele (Stage 2–3 range) but has no direct citation in either document. Teacher judgement required.",Not found in NSW DoE Morphemes Suggested Sequence or Australian Curriculum v9,,2
suffix,,s,-s,plural or present tense,"dogs, runs",s2e,high,Explicitly listed in Early Stage 1 as inflectional suffix for plural and present tense,"NSW DoE Morphemes Suggested Sequence – Inflectional Suffixes, ES1",,3
suffix,,es,-es,plural or present tense,"boxes, pushes",s2e,high,"Explicitly listed in Stage 1 as inflectional suffix; -es plural for words ending in ch, sh, ss, x","NSW DoE Morphemes Suggested Sequence – Inflectional Suffixes, Stage 1",,3
suffix,,ed,-ed,past tense,"walked, hopped",s2e,high,Explicitly listed in Early Stage 1 as inflectional suffix for past tense,"NSW DoE Morphemes Suggested Sequence – Inflectional Suffixes, ES1",,3
suffix,,ing,-ing,happening now,"sleeping, running",s2e,high,Explicitly listed in Early Stage 1 as inflectional suffix for progressive/present participle,"NSW DoE Morphemes Suggested Sequence – Inflectional Suffixes, ES1",,3
